"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Удаление курьера которого не существует","tests","2026-02-19","broken","2026-02-19","TestDeleteCourier","test_delete_courier","",""
"","32","Создание заказа с разными данными","tests","2026-02-19","broken","2026-02-19","TestCreateOrder","test_create_order","",""
"","2","Неудачная попытка создать курьера без обязательного поля","tests","2026-02-19","broken","2026-02-19","TestRegisterCourier","test_register_courier","",""
"","2","Нельзя дважды создать курьера","tests","2026-02-19","broken","2026-02-19","TestRegisterCourier","test_register_courier","",""
"","3","Создание заказа с разными данными","tests","2026-02-19","broken","2026-02-19","TestCreateOrder","test_create_order","",""
"","4","Удаление курьера","tests","2026-02-19","broken","2026-02-19","TestDeleteCourier","test_delete_courier","",""
"","3","Неудачный логин без обязательного поля","tests","2026-02-19","broken","2026-02-19","TestLoginCourier","test_login_courier","",""
"","3","Неудачная попытка создать курьера без обязательного поля","tests","2026-02-19","broken","2026-02-19","TestRegisterCourier","test_register_courier","",""
"","3","Создать курьера","tests","2026-02-19","broken","2026-02-19","TestRegisterCourier","test_register_courier","",""
"","6","Залогиниться курьеру","tests","2026-02-19","broken","2026-02-19","TestLoginCourier","test_login_courier","",""
"","6","Получить заказ","tests","2026-02-19","broken","2026-02-19","TestGetOrder","test_get_order","",""
"","2","Неудачный логин без обязательного поля","tests","2026-02-19","broken","2026-02-19","TestLoginCourier","test_login_courier","",""
"","4","Залогиниться курьеру, которого не существует","tests","2026-02-19","broken","2026-02-19","TestLoginCourier","test_login_courier","",""
"","0","Удаление курьера без айди","tests","2026-02-19","broken","2026-02-19","TestDeleteCourier","test_delete_courier","",""
"","3","Создание заказа с разными данными","tests","2026-02-19","broken","2026-02-19","TestCreateOrder","test_create_order","",""
"","3","Создание заказа с разными данными","tests","2026-02-19","broken","2026-02-19","TestCreateOrder","test_create_order","",""
